source;target;weight
bbcglasto;jonny5;1
bbcglasto;poordecisions;1
bbcglasto;weakgroups;1
bbcglasto;badpresenters;1
bbcglasto;licencerefund;1
bbcglasto;awkward;5
bbcglasto;titp2013;1
bbcglasto;bestofbritish;1
bbcglasto;weljel;1
bbcglasto;favsinger;1
bbcglasto;bestflagever;5
bbcglasto;randl2013;1
bbcglasto;savesouthbank;1
bbcglasto;urturn;1
bbcglasto;socent;1
bbcglasto;rocknroll;3
bbcglasto;wbcb;1
bbcglasto;bouncing;1
bbcglasto;kidsthesedays;1
bbcglasto;noneed;1
bbcglasto;catchy;1
bbcglasto;cheekyrave;1
bbcglasto;thatismyage;1
bbcglasto;thisisabeautifulday;1
bbcglasto;biglove;1
bbcglasto;experiences;1
bbcglasto;happy;2
bbcglasto;closetfan;1
bbcglasto;drummer;2
bbcglasto;shiiitttt;1
bbcglasto;nffc;1
bbcglasto;thatsyourjob;1
bbcglasto;likeit;1
bbcglasto;htdoesglasto;3
bbcglasto;quality;3
bbcglasto;examplerocks;17
bbcglasto;ovalbury;4
bbcglasto;stomes;1
bbcglasto;musicalgenius;3
bbcglasto;diehardwithavengeance;1
bbcglasto;bbc1hd;1
bbcglasto;diehard2;1
bbcglasto;film4;1
bbcglasto;nevermindthebuzzcocks;1
bbcglasto;goingoff;1
bbcglasto;takethecrown;1
bbcglasto;legendarytunes;1
bbcglasto;prayingforinternationaljihad;1
bbcglasto;frontroomraver;1
bbcglasto;straightaway;1
bbcglasto;ripitup;1
bbcglasto;moshpits;1
bbcglasto;bringiton;1
bbcglasto;ibiza2013;1
bbcglasto;bless;1
bbcglasto;fun;1
bbcglasto;back;1
bbcglasto;disco;1
bbcglasto;funk;2
bbcglasto;oi;1
bbcglasto;moan;2
bbcglasto;burningtomorrow;1
bbcglasto;badexample;1
bbcglasto;whosold;1
bbcglasto;tuuuune;1
bbcglasto;changedthewayyoukissme;1
bbcglasto;banger;1
bbcglasto;wedontneedtohearswears;1
bbcglasto;dusk;1
bbcglasto;decentset;1
bbcglasto;changedthewayyoukissedme;1
bbcglasto;hittheroadjack;1
bbcglasto;fuckers;1
bbcglasto;saddo;1
bbcglasto;exampe;1
bbcglasto;mental;3
bbcglasto;doublewhammy;1
bbcglasto;chuckd;1
bbcglasto;choooons;1
bbcglasto;jelofmyboyf;1
bbcglasto;harsh;1
bbcglasto;slickk;1
bbcglasto;harshbuttrue;1
bbcglasto;epic;5
bbcglasto;thestones;91
bbcglasto;halo4;1
bbcglasto;mentalmentalchickenoriental;1
bbcglasto;veryoldfarts;1
bbcglasto;bringbackjohnpeel;1
bbcglasto;camptwat;1
bbcglasto;wank;1
bbcglasto;bpositive;1
bbcglasto;helpinspirebelieve;1
bbcglasto;bpositivelovesmusic;1
bbcglasto;lookeddecent;1
bbcglasto;h;1
bbcglasto;bbcdid;1
bbcglasto;seenhimlive;1
bbcglasto;amazingsong;1
bbcglasto;livinglegend;1
bbcglasto;hesthegreatestdancer;1
bbcglasto;gregjames;2
bbcglasto;lordy;1
bbcglasto;the_strypes;1
bbcglasto;pow;1
bbcglasto;comeon;1
bbcglasto;bbcshite;1
