source;target;weight
glastonbury;skysports1;1
glastonbury;wine;8
glastonbury;takeaway;1
glastonbury;exile;2
glastonbury;glastonburyhurts;7
glastonbury;hurts;66
glastonbury;happiness;4
glastonbury;winning;8
glastonbury;wishiniwasthere;1
glastonbury;nextyear;25
glastonbury;lovehousemusic;1
glastonbury;ontv;3
glastonbury;morningmusic;1
glastonbury;fashion;11
glastonbury;glastoathome;2
glastonbury;diaryofastylist;1
glastonbury;flags;9
glastonbury;fail;9
glastonbury;youluckypeople;1
glastonbury;pyramid;21
glastonbury;pyramidstage;41
glastonbury;kettle;1
glastonbury;pot;1
glastonbury;black;1
glastonbury;stillclass;1
glastonbury;doctorwho;9
glastonbury;yawn;11
glastonbury;mowinglawn;1
glastonbury;tennis;7
glastonbury;rugby;5
glastonbury;selfie;4
glastonbury;progreen;4
glastonbury;loveinglife;1
glastonbury;sea;1
glastonbury;crowds;1
glastonbury;sunnysaturday;10
glastonbury;colossal;1
glastonbury;stylestalker;4
glastonbury;sequin;4
glastonbury;gold;4
glastonbury;lionsontour;2
glastonbury;pride2013;2
glastonbury;marrgate;1
glastonbury;kissmyshamrock;1
glastonbury;randomfact;7
glastonbury;festivalchic;2
glastonbury;sublime;1
glastonbury;looksamazing;5
glastonbury;newtack;1
glastonbury;bassline;2
glastonbury;dubstep;2
glastonbury;targetsnoticeboard;1
glastonbury;listen;1
glastonbury;joke;1
glastonbury;trussler;1
glastonbury;otherstage;12
glastonbury;yanis;1
glastonbury;thetimes;1
glastonbury;rockroyality;1
glastonbury;smashedit;11
glastonbury;lifeisbeautiful;1
glastonbury;depressing;7
glastonbury;storify;8
glastonbury;heatglasto;2
glastonbury;baseline;2
glastonbury;ycif;2
glastonbury;ycf13;2
glastonbury;youngcarers;2
glastonbury;fomo;7
glastonbury;starquality;1
glastonbury;motherfuckas;1
glastonbury;bestfestivalintheworld;1
glastonbury;livingroomglastonbury;2
glastonbury;maybenextyear;1
glastonbury;rwc7s;2
glastonbury;wimbledontennis;2
glastonbury;tdf13;3
glastonbury;milknkinski;1
glastonbury;tankusfanboys;1
glastonbury;shabbychic;1
glastonbury;bizitalk;2
glastonbury;glastonburyenvy;1
glastonbury;notactuallytherejustwatchingitonthebbc;1
glastonbury;hiphop;10
glastonbury;newmusic;4
glastonbury;primalscream;226
glastonbury;sunglasses;2
glastonbury;fespa2013;1
glastonbury;single;1
glastonbury;redwhiterose;1
glastonbury;pugibet;1
glastonbury;knockoutchilli;3
glastonbury;shoplifters;1
glastonbury;anniversary;1
glastonbury;partynowcrylater;1
